iter	Passed	Remaining
516	679	635
517	681	634
518	682	632
519	684	631
520	685	630
521	687	629
522	688	628
523	690	626
524	691	625
525	692	624
526	694	623
527	695	621
528	696	620
529	698	619
530	699	617
531	701	616
532	702	615
533	703	614
534	705	612
535	706	611
536	707	610
537	709	609
538	710	607
539	711	606
540	712	604
541	714	603
542	715	602
543	717	601
544	718	600
545	720	599
546	722	597
547	723	596
548	725	595
549	726	594
550	727	593
551	729	592
552	731	591
553	733	590
554	734	589
555	736	588
556	737	586
557	738	585
558	739	583
559	741	582
560	742	580
561	743	579
562	744	578
563	746	576
564	748	576
565	749	574
566	751	573
567	752	572
568	753	571
569	755	569
570	756	568
571	757	566
572	759	565
573	760	564
574	762	563
575	763	562
576	765	560
577	766	559
578	767	558
579	768	556
580	769	555
581	771	553
582	772	552
583	773	551
584	775	549
585	776	548
586	778	547
587	779	546
588	781	545
589	782	543
590	783	542
591	784	540
592	786	539
593	787	538
594	788	536
595	789	535
596	791	534
597	793	533
598	794	532
599	796	530
600	797	529
601	798	528
602	800	526
603	801	525
604	802	523
605	803	522
606	805	521
607	807	520
608	808	519
609	809	517
610	811	516
611	812	515
612	813	513
613	814	512
614	815	510
615	817	509
616	819	508
617	820	507
618	823	506
619	824	505
620	825	503
621	826	502
622	828	501
623	829	499
624	830	498
625	831	496
626	832	495
627	834	494
628	835	492
629	838	492
630	839	490
631	840	489
632	841	488
633	843	486
634	844	485
635	846	484
636	847	482
637	848	481
638	849	480
639	851	478
640	853	477
641	854	476
642	856	475
643	857	474
644	858	472
645	860	471
646	861	470
647	862	468
648	863	467
649	865	465
650	866	464
651	868	463
652	869	462
653	871	460
654	872	459
655	873	458
656	874	456
657	876	455
658	877	454
659	879	452
660	880	451
661	883	450
662	884	449
663	885	448
664	886	446
665	888	445
666	889	444
667	890	442
668	891	441
669	893	439
670	894	438
671	895	437
672	897	436
673	899	434
674	900	433
675	901	432
676	903	430
677	904	429
678	905	428
679	907	426
680	908	425
681	909	424
682	911	422
683	913	421
684	914	420
685	915	419
686	916	417
687	918	416
688	919	415
689	920	413
690	922	412
691	923	410
692	924	409
693	926	408
694	928	407
695	929	405
696	930	404
697	932	403
698	933	402
699	935	400
700	936	399
701	937	397
702	938	396
703	939	395
704	941	393
705	942	392
706	943	391
707	944	389
708	946	388
709	947	386
710	948	385
711	949	384
712	950	382
713	951	381
714	952	379
715	953	378
716	954	376
717	955	375
718	957	374
719	958	372
720	959	371
721	960	369
722	962	368
723	963	367
724	964	365
725	965	364
726	966	362
727	967	361
728	968	360
729	969	358
730	970	357
731	972	356
732	974	355
733	976	353
734	977	352
735	978	351
736	979	349
737	980	348
738	982	346
739	983	345
740	984	344
741	985	342
742	987	341
743	989	340
744	990	339
745	991	337
746	993	336
747	994	335
748	996	333
749	997	332
750	999	331
751	1000	329
752	1002	328
753	1003	327
754	1006	326
755	1007	325
756	1008	323
757	1010	322
758	1011	321
759	1012	319
760	1014	318
761	1015	317
762	1017	315
763	1018	314
764	1021	313
765	1022	312
766	1024	311
767	1025	309
768	1027	308
769	1028	307
770	1029	305
771	1031	304
772	1032	303
773	1033	301
774	1035	300
775	1036	299
776	1037	297
777	1038	296
778	1040	295
779	1041	293
780	1042	292
781	1044	291
782	1046	289
783	1047	288
784	1049	287
785	1051	286
786	1052	284
787	1053	283
788	1055	282
789	1056	280
790	1057	279
791	1058	278
792	1060	276
793	1061	275
794	1063	274
795	1065	273
796	1066	271
797	1068	270
798	1069	269
799	1071	267
800	1072	266
801	1073	265
802	1074	263
803	1076	262
804	1078	261
805	1079	259
806	1081	258
807	1082	257
808	1084	256
809	1085	254
810	1087	253
811	1088	251
812	1089	250
813	1090	249
814	1092	247
815	1093	246
816	1095	245
817	1096	244
818	1097	242
819	1099	241
820	1100	240
821	1101	238
822	1103	237
823	1104	235
824	1105	234
825	1107	233
826	1109	232
827	1110	230
828	1112	229
829	1113	228
830	1114	226
831	1116	225
832	1117	223
833	1118	222
834	1119	221
835	1121	219
836	1122	218
837	1124	217
838	1126	216
839	1127	214
840	1128	213
841	1130	212
842	1131	210
843	1132	209
844	1133	207
845	1134	206
846	1135	205
847	1136	203
848	1139	202
849	1140	201
850	1141	199
851	1142	198
852	1144	197
853	1145	195
854	1146	194
855	1147	193
856	1148	191
857	1149	190
858	1151	188
859	1152	187
860	1154	186
861	1155	185
862	1157	183
863	1158	182
864	1159	180
865	1160	179
866	1162	178
867	1163	176
868	1164	175
869	1165	174
870	1166	172
871	1168	171
872	1169	170
873	1171	168
874	1172	167
875	1173	166
876	1175	164
877	1176	163
878	1177	162
879	1178	160
880	1180	159
881	1182	158
882	1183	156
883	1185	155
884	1187	154
885	1188	152
886	1189	151
887	1190	150
888	1191	148
889	1192	147
890	1194	146
891	1195	144
892	1196	143
893	1197	142
894	1200	140
895	1201	139
896	1202	138
897	1204	136
898	1205	135
899	1206	134
900	1207	132
901	1208	131
902	1209	129
903	1210	128
904	1212	127
905	1214	125
906	1215	124
907	1216	123
908	1218	121
909	1220	120
910	1221	119
911	1222	117
912	1224	116
913	1225	115
914	1226	113
915	1227	112
916	1229	111
917	1231	109
918	1232	108
919	1233	107
920	1234	105
921	1236	104
922	1237	103
923	1238	101
924	1239	100
925	1241	99
926	1242	97
927	1244	96
928	1245	95
929	1247	93
930	1248	92
931	1249	91
932	1251	89
933	1252	88
934	1253	87
935	1254	85
936	1255	84
937	1256	83
938	1257	81
939	1259	80
940	1261	79
941	1262	77
942	1264	76
943	1265	75
944	1266	73
945	1267	72
946	1268	71
947	1270	69
948	1271	68
949	1273	67
950	1274	65
951	1276	64
952	1277	63
953	1279	61
954	1280	60
955	1281	58
956	1282	57
957	1283	56
958	1285	54
959	1286	53
960	1287	52
961	1289	50
962	1291	49
963	1292	48
964	1293	46
965	1295	45
966	1296	44
967	1297	42
968	1298	41
969	1299	40
970	1300	38
971	1301	37
972	1302	36
973	1304	34
974	1306	33
975	1307	32
976	1309	30
977	1310	29
978	1311	28
979	1312	26
980	1313	25
981	1314	24
982	1316	22
983	1317	21
984	1318	20
985	1320	18
986	1321	17
987	1322	16
988	1323	14
989	1325	13
990	1326	12
991	1327	10
992	1328	9
993	1329	8
994	1331	6
995	1332	5
996	1334	4
997	1336	2
998	1337	1
999	1338	0
